Arpt_ICAO	Procedure Type	Procedure Ident
8N8	SIAP	R27
8N8	SIAP	VOR-A
8S1	SIAP	R18
8S1	SIAP	R36
8S1	SID	ANGIL1
8T6	SIAP	R13
8T6	SIAP	VDM-A
8V2	SIAP	D29
8V2	SIAP	R11
8V2	SIAP	R29
8V3	SIAP	R15
8V3	SIAP	R33
8V7	SIAP	R17
8W2	SIAP	RNV-A
8W2	SIAP	RNV-B
8WC	SIAP	R02
8WC	SIAP	R20
91C	SIAP	R18
91C	SIAP	R36
93C	SIAP	VOR-A
93Y	SIAP	D32
93Y	SIAP	R14
93Y	SIAP	R32
94K	SIAP	R09
94K	SIAP	R27
96D	SIAP	R33
98D	SIAP	R13
98D	SIAP	R31
99N	SIAP	R05
99N	SIAP	R23
9A4	SIAP	R13
9A4	SIAP	R31
9A5	SIAP	R02
9A5	SIAP	R20
9D0	SIAP	R13
9D0	SIAP	R31
9D1	SIAP	R13
9D1	SIAP	R31
9D4	SIAP	R19
9D4	SIAP	VDM-A
9D7	SIAP	R16
9D7	SIAP	R34
9D9	SIAP	R12
9D9	SIAP	R30
9D9	SIAP	S12
9G0	SIAP	R06
9G0	SIAP	R24
9G2	SIAP	R09
9G2	SIAP	R27
9G3	SIAP	R07
9G3	SIAP	R25
9G6	SIAP	RNV-B
9G8	SIAP	R07
9G8	SIAP	R25
9K8	SIAP	R18
9K8	SIAP	R36
9M8	SIAP	R01
9M8	SIAP	R19
9N3	SIAP	R04
9S2	SIAP	R12
9S9	SIAP	R08
9S9	SIAP	RNV-A
9V5	SIAP	R14
9V5	SIAP	R32
9V6	SIAP	R32
9V9	SIAP	R13
9V9	SIAP	R31
A08	SIAP	R16
A08	SIAP	R34
B16	SIAP	R10
B16	SIAP	R28
B19	SIAP	R06
B19	SIAP	S06
B21	SIAP	RNV-A
C02	SIAP	R23
C03	SIAP	VOR-B
C04	SIAP	R09
C04	SIAP	R27
C09	SIAP	R18
C09	SIAP	R36
C15	SIAP	R09
C15	SIAP	R27
C16	SIAP	VOR-A
C20	SIAP	R13
C20	SIAP	R31
C25	SIAP	VOR-A
C29	SIAP	R10
C29	SIAP	R28
C29	SIAP	V28
C35	SIAP	R18
C35	SIAP	R36
C35	SIAP	VOR-A
C47	SIAP	R18
C56	SIAP	R09
C56	SIAP	R27
C62	SIAP	R10
C62	SIAP	R28
C65	SIAP	R10
C65	SIAP	R28
C65	SIAP	S10
C65	SIAP	S28
C66	SIAP	VOR-A
C73	SIAP	R08
C73	SIAP	R26
C75	SIAP	R13
C81	SIAP	RNV-B
C83	SIAP	R30
C91	SIAP	R09
C91	SIAP	R27
CYQG	SID	BARII1
CYQG	SID	CCOBB1
CYQG	SID	CLVIN1
CYQG	SID	HHOWE1
CYQG	SID	KAYLN1
CYQG	SID	LIDDS1
CYQG	SID	MIGGY1
CYQG	SID	PAVYL1
CYQG	SID	SNDRS1
CYQG	SID	TRMML1
CYQG	SID	ZETTR1
CYQG	STAR	FOREY1
CYQG	STAR	GIGGY1
CYQG	STAR	PETTE1
CYQG	STAR	RRALF1
CYXX	STAR	MADEE4
CZBB	STAR	MADEE4
D00	SIAP	R33
D05	SIAP	R13
D05	SIAP	R31
D09	SIAP	R31
D25	SIAP	R14
D25	SIAP	R32
D37	SIAP	R30
D39	SIAP	R14
D39	SIAP	R32
D42	SIAP	D13
D42	SIAP	R13
D42	SIAP	R31
D50	SIAP	R30
D55	SIAP	R14
D55	SIAP	R32
D57	SIAP	R29
D60	SIAP	R12
D60	SIAP	R30
D73	SIAP	R03
D73	STAR	BUKHD1
D73	STAR	DEHAN1
D73	STAR	SWTEE1
D73	STAR	WRGNZ1
D95	SIAP	R18
D95	SIAP	R36
D98	SIAP	R18
D98	SIAP	R36
E01	SIAP	D12
E01	SIAP	R12
E01	SIAP	R30
E06	SIAP	R03
