
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign | 
     78.51540 |       4.86342 |       4.86342 |       0.00000 |      22.68135 |      14.68135 |       2.83199 |       0.00028 |       0.01002 |       0.01075 |       0.01075 |       0.00032 |       0.01237 |       0.01237 |      -0.42451 |       0.01954 |     317.54883 |     304.41907 |      38.99726 |    -119.75648 |    4716.85986 |       0.25170 |       1.00000 |    4714.35059 |      38.50000 |    -120.00000 | 
     78.62010 |       4.96812 |       4.96812 |       0.00000 |      22.68138 |      14.68138 |       2.83202 |       0.00023 |       0.01715 |       0.01839 |       0.01839 |       0.00027 |       0.02117 |       0.02117 |      -0.42153 |       0.00549 |     317.54858 |     304.41882 |      38.99726 |    -119.75648 |    4716.86035 |       0.25238 |       1.00000 |    4714.79297 |      38.50000 |    -120.00000 | 
     78.72429 |       5.07231 |       5.07231 |       0.00000 |      22.68141 |      14.68141 |       2.83204 |       0.00019 |       0.02188 |       0.02347 |       0.02347 |       0.00022 |       0.02701 |       0.02701 |      -0.42049 |      -0.01092 |     317.54880 |     304.41904 |      38.99726 |    -119.75648 |    4716.86182 |       0.25373 |       1.00000 |    4715.15625 |      38.50000 |    -120.00000 | 
     78.82471 |       5.17273 |       5.17273 |       0.00000 |      22.68144 |      14.68144 |       2.83207 |       0.00016 |       0.02345 |       0.02515 |       0.02515 |       0.00018 |       0.02895 |       0.02895 |      -0.42128 |      -0.02712 |     317.54935 |     304.41959 |      38.99726 |    -119.75648 |    4716.86279 |       0.25509 |       1.00000 |    4715.44531 |      38.50000 |    -120.00000 | 
     78.92606 |       5.27408 |       5.27408 |       0.00000 |      22.68147 |      14.68147 |       2.83210 |       0.00013 |       0.02276 |       0.02441 |       0.02441 |       0.00015 |       0.02809 |       0.02809 |      -0.42354 |      -0.04212 |     317.55017 |     304.42041 |      38.99726 |    -119.75648 |    4716.86377 |       0.25602 |       1.00000 |    4715.68896 |      38.50000 |    -120.00000 | 
     79.03428 |       5.38230 |       5.38230 |       0.00000 |      22.68150 |      14.68149 |       2.83213 |       0.00011 |       0.02069 |       0.02219 |       0.02219 |       0.00012 |       0.02554 |       0.02554 |      -0.42706 |      -0.05482 |     317.55121 |     304.42145 |      38.99726 |    -119.75648 |    4716.86426 |       0.25590 |       1.00000 |    4715.90381 |      38.50000 |    -120.00000 | 
     79.14081 |       5.48882 |       5.48882 |       0.00000 |      22.68152 |      14.68152 |       2.83216 |       0.00009 |       0.01802 |       0.01933 |       0.01933 |       0.00010 |       0.02224 |       0.02224 |      -0.43106 |      -0.06272 |     317.55225 |     304.42249 |      38.99726 |    -119.75648 |    4716.86377 |       0.25556 |       1.00000 |    4716.07715 |      38.50000 |    -120.00000 | 
     79.24467 |       5.59269 |       5.59269 |       0.00000 |      22.68155 |      14.68155 |       2.83219 |       0.00007 |       0.01562 |       0.01675 |       0.01675 |       0.00008 |       0.01928 |       0.01928 |      -0.43497 |      -0.06554 |     317.55319 |     304.42343 |      38.99726 |    -119.75648 |    4716.86328 |       0.25533 |       1.00000 |    4716.21533 |      38.50000 |    -120.00000 | 
     79.35423 |       5.70225 |       5.70225 |       0.00000 |      22.68158 |      14.68158 |       2.83222 |       0.00006 |       0.01439 |       0.01544 |       0.01544 |       0.00007 |       0.01776 |       0.01776 |      -0.43871 |      -0.06338 |     317.55399 |     304.42422 |      38.99726 |    -119.75648 |    4716.86279 |       0.25470 |       1.00000 |    4716.33594 |      38.50000 |    -120.00000 | 
     79.45676 |       5.80478 |       5.80478 |       0.00000 |      22.68161 |      14.68161 |       2.83225 |       0.00005 |       0.01503 |       0.01613 |       0.01613 |       0.00006 |       0.01856 |       0.01856 |      -0.44168 |      -0.05721 |     317.55447 |     304.42471 |      38.99726 |    -119.75648 |    4716.86230 |       0.25442 |       1.00000 |    4716.42871 |      38.50000 |    -120.00000 | 
     79.55634 |       5.90435 |       5.90435 |       0.00000 |      22.68164 |      14.68164 |       2.83228 |       0.00004 |       0.01730 |       0.01856 |       0.01856 |       0.00005 |       0.02135 |       0.02135 |      -0.44397 |      -0.04829 |     317.55466 |     304.42490 |      38.99726 |    -119.75648 |    4716.86230 |       0.25450 |       1.00000 |    4716.50293 |      38.50000 |    -120.00000 | 
     79.66415 |       6.01217 |       6.01217 |       0.00000 |      22.68167 |      14.68167 |       2.83231 |       0.00003 |       0.02071 |       0.02221 |       0.02221 |       0.00004 |       0.02556 |       0.02556 |      -0.44537 |      -0.03669 |     317.55432 |     304.42456 |      38.99726 |    -119.75648 |    4716.86279 |       0.25488 |       1.00000 |    4716.56885 |      38.50000 |    -120.00000 | 
     79.76578 |       6.11379 |       6.11379 |       0.00000 |      22.68170 |      14.68170 |       2.83233 |       0.00003 |       0.02114 |       0.02267 |       0.02267 |       0.00003 |       0.02609 |       0.02609 |      -0.44612 |      -0.02548 |     317.55368 |     304.42392 |      38.99726 |    -119.75648 |    4716.86328 |       0.25533 |       1.00000 |    4716.62012 |      38.50000 |    -120.00000 | 
     79.87283 |       6.22084 |       6.22084 |       0.00000 |      22.68173 |      14.68173 |       2.83236 |       0.00002 |       0.01960 |       0.02102 |       0.02102 |       0.00003 |       0.02419 |       0.02419 |      -0.44673 |      -0.01483 |     317.55280 |     304.42303 |      38.99726 |    -119.75648 |    4716.86377 |       0.25565 |       1.00000 |    4716.66455 |      38.50000 |    -120.00000 | 
     79.97958 |       6.32759 |       6.32759 |       0.00000 |      22.68176 |      14.68176 |       2.83239 |       0.00002 |       0.01681 |       0.01803 |       0.01803 |       0.00002 |       0.02075 |       0.02075 |      -0.44733 |      -0.00656 |     317.55188 |     304.42212 |      38.99726 |    -119.75648 |    4716.86377 |       0.25570 |       1.00000 |    4716.70068 |      38.50000 |    -120.00000 | 
     80.08858 |       6.43661 |       6.43661 |       0.00000 |      22.68179 |      14.68179 |       2.83242 |       0.00002 |       0.01345 |       0.01443 |       0.01443 |       0.00002 |       0.01660 |       0.01660 |      -0.44801 |      -0.00134 |     317.55096 |     304.42120 |      38.99726 |    -119.75648 |    4716.86377 |       0.25552 |       1.00000 |    4716.73193 |      38.50000 |    -120.00000 | 
     80.19167 |       6.53968 |       6.53968 |       0.00000 |      22.68182 |      14.68182 |       2.83245 |       0.00001 |       0.01063 |       0.01141 |       0.01141 |       0.00001 |       0.01313 |       0.01313 |      -0.44874 |       0.00026 |     317.55023 |     304.42047 |      38.99726 |    -119.75648 |    4716.86328 |       0.25528 |       1.00000 |    4716.75537 |      38.50000 |    -120.00000 | 
     80.29824 |       6.64626 |       6.64626 |       0.00000 |      22.68185 |      14.68185 |       2.83248 |       0.00001 |       0.00927 |       0.00995 |       0.00995 |       0.00001 |       0.01145 |       0.01145 |      -0.44957 |      -0.00139 |     317.54965 |     304.41989 |      38.99726 |    -119.75648 |    4716.86328 |       0.25508 |       1.00000 |    4716.77441 |      38.50000 |    -120.00000 | 
     80.39923 |       6.74725 |       6.74725 |       0.00000 |      22.68187 |      14.68187 |       2.83251 |       0.00001 |       0.00982 |       0.01053 |       0.01053 |       0.00001 |       0.01212 |       0.01212 |      -0.45040 |      -0.00560 |     317.54932 |     304.41956 |      38.99726 |    -119.75648 |    4716.86328 |       0.25504 |       1.00000 |    4716.79004 |      38.50000 |    -120.00000 | 
     80.50791 |       6.85593 |       6.85593 |       0.00000 |      22.68190 |      14.68190 |       2.83254 |       0.00001 |       0.01137 |       0.01220 |       0.01220 |       0.00001 |       0.01404 |       0.01404 |      -0.45134 |      -0.01226 |     317.54922 |     304.41946 |      38.99726 |    -119.75648 |    4716.86328 |       0.25515 |       1.00000 |    4716.80371 |      38.50000 |    -120.00000 | 
