airport,runway,procedure_names,operation
KDEN,RW25,"BAYLR3,BRYCC3,CONNR4,COORZ3,EEONS5,EMMYS5,EPKEE5,EXTAN4,FOOOT3,PIKES9,PLAIN8,RIKKK3,ROCKI3,SOLAR3,SPAZZ3,STAKR3,YAMMI3,YELLO1,YOKES5",departure
KDCA,RW01,"CAPSS3,DEALE3,FRDMM4,NUMMY2,TIKEE3,TRUPS4,SKILS4",arrival
KDCA,RW01,"BOOCK3,CLTCH2,DOCTR4,HORTO3,JDUBB2,REBLL4,SCRAM4,SOOKI4,WYNGS4",departure
KDCA,RW04,"BOOCK3,DOCTR4,SOOKI4",departure
KDCA,RW33,"BOOCK3,CLTCH2,DOCTR4,HORTO3,JDUBB2,REBLL4,SCRAM4,SOOKI4,WYNGS4",departure
KDCA,RW19,"BOOCK3,CLTCH2,DOCTR4,HORTO3,JDUBB2,REBLL4,SCRAM4,SOOKI4,WYNGS4",departure
KDCA,RW15,"BOOCK3,CLTCH2,DOCTR4,HORTO3,JDUBB2,REBLL4,SCRAM4,SOOKI4,WYNGS4",departure
KCLT,RW18R,"STOCR2,MLLET2,MAJIC2,JONZE2,FILPZ3,CHSLY3,BTSEY2",arrival
KCLT,RW18L,"STOCR2,MLLET2,MAJIC2,JONZE2,FILPZ3,CHSLY3,BTSEY2",arrival
KCLT,RW18C,"STOCR2,MLLET2,MAJIC2,JONZE2,FILPZ3,CHSLY3,BTSEY2",arrival
KCLT,RW36R,"UNARM5,STOCR2,RASLN3,PARQR3,MLLET2,JONZE2,FILPZ3,CHSLY3",arrival
KCLT,RW36L,"UNARM5,STOCR2,RASLN3,PARQR3,MLLET2,JONZE2,FILPZ3,CHSLY3",arrival
KCLT,RW36C,"UNARM5,STOCR2,RASLN3,PARQR3,MLLET2,JONZE2,FILPZ3,CHSLY3",arrival
KCLT,RW23,"STOCR2,MLLET2,MAJIC2,JONZE2,FILPZ3,BTSEY2",arrival
KCLT,RW05,"BARMY3,BEAVY4,BOBZY3,CLT2,ESTRR3,ICONS3,JOJJO3,KER2,KILNS3,KNI1,KRITR4,KWEEN3,LILLS1,WEAZL3",departure
KCLT,RW18R,"BARMY3,BEAVY4,BOBZY3,CLT2,ESTRR3,ICONS3,JOJJO3,KER2,KILNS3,KNI1,KRITR4,KWEEN3,LILLS1,WEAZL3",departure
KCLT,RW18L,"BARMY3,BEAVY4,BOBZY3,CLT2,ESTRR3,ICONS3,JOJJO3,KER2,KILNS3,KNI1,KRITR4,KWEEN3,LILLS1,WEAZL3",departure
KCLT,RW18C,"BARMY3,BEAVY4,BOBZY3,CLT2,ESTRR3,ICONS3,JOJJO3,KER2,KILNS3,KNI1,KRITR4,KWEEN3,LILLS1,WEAZL3",departure
KCLT,RW36R,"BARMY3,BEAVY4,BOBZY3,CLT2,ESTRR3,ICONS3,JOJJO3,KER2,KILNS3,KNI1,KRITR4,KWEEN3,LILLS1,WEAZL3",departure
KCLT,RW36L,"BARMY3,BEAVY4,BOBZY3,CLT2,ESTRR3,ICONS3,JOJJO3,KER2,KILNS3,KNI1,KRITR4,KWEEN3,LILLS1,WEAZL3",departure
KCLT,RW36C,"BARMY3,BEAVY4,BOBZY3,CLT2,ESTRR3,ICONS3,JOJJO3,KER2,KILNS3,KNI1,KRITR4,KWEEN3,LILLS1,WEAZL3",departure
KCLT,RW23,"BARMY3,BEAVY4,BOBZY3,CLT2,ESTRR3,ICONS3,JOJJO3,KER2,KILNS3,KNI1,KRITR4,KWEEN3,LILLS1,WEAZL3",departure
KCLT,RW05,"BARMY3,BEAVY4,BOBZY3,CLT2,ESTRR3,ICONS3,JOJJO3,KER2,KILNS3,KNI1,KRITR4,KWEEN3,LILLS1,WEAZL3",departure
KBWI,RW15L,"MIIDY2,RAVNN6,EMI5",arrival
KBWI,RW33R,"MIIDY2,RAVNN6,EMI5",arrival
KBWI,RW15R,"MIIDY2,RAVNN6,EMI5",arrival
KBWI,RW33L,"MIIDY2,RAVNN6,EMI5",arrival
KBWI,RW10,"MIIDY2,RAVNN6,EMI5",arrival
KBWI,RW28,"MIIDY2,RAVNN6,EMI5",arrival
KBWI,RW15R,"CONLE3,FIXET2,TERPZ6",departure
KBWI,RW15L,"CONLE3,FIXET2,TERPZ6",departure
KBWI,RW10,"CONLE3,FIXET2,TERPZ6",departure
KBWI,RW33L,"CONLE3,FIXET2,TERPZ6",departure
KBWI,RW33R,"CONLE3,FIXET2,TERPZ6",departure
KBWI,RW28,"CONLE3,FIXET2,TERPZ6",departure
KBOS,RW27,"GDM4,ORW7",arrival
KBOS,RW04R,"ORW7,WOONS2",arrival
KBOS,RW22L,"GDM4,WOONS2",arrival
KBOS,RW33L,"GDM4,ORW7,WOONS2",arrival
KBOS,RW15R,"GDM4,ORW7",arrival
KBOS,RW15R,"BLZZR4,BRUWN5,CELTK5,HYLND5,LBSTA6,PATSS5,REVSS4,SSOXS5",departure
KBOS,RW22R,"BLZZR4,BRUWN5,CELTK5,HYLND5,LBSTA6,PATSS5,REVSS4,SSOXS5",departure
KBOS,RW22L,"BLZZR4,BRUWN5,CELTK5,HYLND5,LBSTA6,PATSS5,REVSS4,SSOXS5",departure
KBOS,RW33,"BLZZR4,BRUWN5,CELTK5,HYLND5,LBSTA6,PATSS5,REVSS4,SSOXS5",departure
KBOS,RW04R,"BLZZR4,BRUWN5,CELTK5,HYLND5,LBSTA6,PATSS5,REVSS4,SSOXS5",departure
KBOS,RW27,WYLYY3,departure
KABQ,RW08,"COLTR3,CURLY3,FRIHO4,KRKEE3,LAVAN3,LOWBO3,SNDIA3",arrival
KABQ,RW03,"COLTR3,CURLY3,FRIHO4,KRKEE3,LAVAN3,LOWBO3,SNDIA3",arrival
KABQ,RW08,"GRZZZ3,JEMEZ3,MNZNO3",departure
KABQ,RW03,"GRZZZ3,JEMEZ3,MNZNO3",departure
KABQ,RW21,"ADYOS3,ATOMK3,DOOKK3,BOSQE3,FYSTA3",departure
KABQ,RW26,"ADYOS3,ATOMK3,DOOKK3,BOSQE3,FYSTA3",departure
KBDL,RW33,"DPK3,STELA1",arrival
KBDL,RW06,"DPK3,STELA1",arrival
KBDL,RW24,"DPK3,STELA1",arrival
KBDL,RW33,CSTL6,departure
KBDL,RW33,CSTL6,departure
KBDL,RW33,CSTL6,departure
KBDL,RW33,CSTL6,departure
KBDL,RW33,CSTL6,departure
KBUR,RW08,"FERN7,JANNY5,LYNXX8,ROKKR2,WEESL1",arrival
KBUR,RW15,"ELMOO8,OROSZ2,SLAPP1,VNY3,VVERA2",departure
KBUR,RW08,"ELMOO8,OROSZ2,SLAPP1,VNY3,VVERA2",departure
KBUR,RW26,"ELMOO8,OROSZ2,SLAPP1,VNY3,VVERA2",departure
KBUR,RW33,"ELMOO8,OROSZ2,SLAPP1,VNY3,VVERA2",departure
KCLE,RW06R,"ZABER6,HIMEZ4,ROLLN1,TRYBE1",arrival
KCLE,RW24L,"ZABER6,HIMEZ4,ROLLN1,TRYBE1",arrival
KCLE,RW06L,"ZABER6,HIMEZ4,ROLLN1,TRYBE1",arrival
KCLE,RW24R,"ZABER6,HIMEZ4,ROLLN1,TRYBE1",arrival
KCLE,RW28,"ZABER6,HIMEZ4,ROLLN1,TRYBE1",arrival
KCLE,RW06R,"KKIDS1,OBRLN5,PFLYD1,ZAAPA1,AMRST5,CAVVS1,GTLKE1",departure
KCLE,RW24R,"KKIDS1,OBRLN5,PFLYD1,ZAAPA1,AMRST5,CAVVS1,GTLKE1",departure
KCLE,RW06L,"KKIDS1,OBRLN5,PFLYD1,ZAAPA1,AMRST5,CAVVS1,GTLKE1",departure
KCLE,RW24L,"KKIDS1,OBRLN5,PFLYD1,ZAAPA1,AMRST5,CAVVS1,GTLKE1",departure
KCLE,RW10,"OBRLN5,ZAAPA1,AMRST5,CAVVS1,GTLKE1",departure
KCLE,RW28,"OBRLN5,ZAAPA1,AMRST5,CAVVS1,GTLKE1",departure
KCVG,RW36R,"BRUSH2,DEBAR5,SHB6,TIGRR2",arrival
KCVG,RW36L,"BRUSH2,DEBAR5,SHB6,TIGRR2",arrival
KCVG,RW36C,"BRUSH2,DEBAR5,SHB6,TIGRR2",arrival
KCVG,RW18L,"DEBAR5,GAVNN4,SARGO3,SHB6",arrival
KCVG,RW18R,"DEBAR5,GAVNN4,SARGO3,SHB6",arrival
KCVG,RW18C,"DEBAR5,GAVNN4,SARGO3,SHB6",arrival
KCVG,RW27,"HARDU3,JAKIE4,SHB6,TIGRR2",arrival
KCVG,RW09,"BRUSH2,DEBAR5,SHB6",arrival
KCVG,RW36R,"BLGRS2,BNGLE4,CHCLL4,GIPLE6,HAGOL4,JBNCH5,KENLN4,LOVEY6,ROCKT9,SILKS4",departure
KCVG,RW36L,"BLGRS2,BNGLE4,CHCLL4,GIPLE6,HAGOL4,JBNCH5,KENLN4,LOVEY6,ROCKT9,SILKS4",departure
KCVG,RW36C,"BLGRS2,BNGLE4,CHCLL4,GIPLE6,HAGOL4,JBNCH5,KENLN4,LOVEY6,ROCKT9,SILKS4",departure
KCVG,RW18L,"BNGLE4,CHCLL4,GIPLE6,HAGOL4,JBNCH5,KENLN4,LOVEY6,ROCKT9,SILKS4",departure
KCVG,RW18R,"BNGLE4,CHCLL4,GIPLE6,HAGOL4,JBNCH5,KENLN4,LOVEY6,ROCKT9,SILKS4",departure
KCVG,RW18C,"BNGLE4,CHCLL4,GIPLE6,HAGOL4,JBNCH5,KENLN4,LOVEY6,ROCKT9,SILKS4",departure
KCVG,RW27,"BLGRS2,BNGLE4,CHCLL4,GIPLE6,HAGOL4,JBNCH5,KENLN4,LOVEY6,ROCKT9,SILKS4",departure
KORD,RW10C,"BDF7,ERNNY4,OXI7,MADII3,SHAIN1",arrival
KORD,RW28C,"BENKY4,ERNNY4,ESSPO3,OXI7,WATSN3",arrival
KORD,RW04R,"BDF7,ERNNY4,OXI7,MADII3,SHAIN1",arrival
KORD,RW22L,"BENKY4,ERNNY4,ESSPO3,OXI7,WATSN3",arrival
KORD,RW27L,"BENKY4,ERNNY4,ESSPO3,OXI7,WATSN3",arrival
KORD,RW09R,"BDF7,ERNNY4,OXI7,MADII3,SHAIN1",arrival
KORD,RW22R,"BENKY4,ERNNY4,ESSPO3,OXI7,WATSN3",arrival
KORD,RW09L,"BDF7,ERNNY4,OXI7,MADII3,SHAIN1",arrival
KORD,RW27R,"BENKY4,ERNNY4,ESSPO3,OXI7,WATSN3",arrival
KORD,RW28L,"BENKY4,ERNNY4,ESSPO3,OXI7,WATSN3",arrival
